Пол;Physical Aggression;Anger;Hostility;Всесилие;Неуязвимость;Уникальность;ГЧС;ПФ;ВСУ;ППВВ;ООО;ММО;ОЭ;СЧЗ;ДЗП;ОШКМ;ШЭС;ШЭМ;ШПС;ШКМ;ШНО;ШЛСМ;ШВ;ШСЖ;ШЛ;1Директивный стиль;2Аналитический стиль;3Концептуальный стиль;4Поведенческий стиль;Безопасность;Конформизм;Традиция;Самостьятельность;Риск-новизна;Гедонизм;Достижение;Власть-Богатство;Благожелательность;Универсализм;Неув.в прич.;Новизна;Сложность;Нерешенность;Общий ;Политика;Личный опыт;Воспитание;Спорт;СМИ;Общий;E';E;e;I';I;i;M';M;m;E||;I||;i||;OD;ED;NP;сложные;GCR;F1 (ОПС);F2 (ОПС);F1 (ША);F2 (ША)
2;14;10;11;52;32;43;32,86;25;26,67;25,71;20;21,25;19;22,5;18,33;133;123;26;45;26;34;8;33;35;30;38;30;31;39;3;5;6;4;4;7;11;12;4;3;56;13;21;14;48;49;28;16;11;13;63;3,5;3;2;1;2;4,5;6;2;0;8,5;7,5;6;10,5;7;6,5;1;6;16;19;30;7
1;22;16;11;65;44;56;40;37,5;38,33;38,57;31,43;27,5;31;23,75;28,33;118;111;26;41;37;35;6;32;28;23;44;43;37;43;6;10;6;2;6;4;4;8;9;6;60;16;31;15;62;33;42;19;18;31;76;3;7;0;0;1;3;9;1;0;10;4;10;12;9;3;0;5;10;20;27;14
2;18;22;18;55;38;32;31,43;33,75;36,67;40;34,29;30;29;31,25;28,33;92;84;39;40;43;33;13;31;26;25;39;41;41;36;6;9;6;4;4;4;7;7;9;3;49;19;37;14;70;47;35;14;12;30;67;2;4;4;1;4;2;3;3;1;10;7;7;6;11;7;1;7;15;21;33;9
2;17;20;25;69;45;52;42,86;27,5;35;42,86;28,57;27,5;39;30;30;102;104;28;31;48;33;12;31;27;34;37;41;46;36;4;8;7;4;9;5;10;5;3;5;53;7;26;15;48;52;27;21;14;13;69;3,5;10;1,5;0;3;2,5;1,5;0;2;15;5,5;3,5;5;13;6;3;8;15;20;29;13
1;33;23;27;65;37;39;37,14;40;30;32,86;48,57;41,25;29;48,75;16,67;75;66;42;39;36;34;18;31;31;18;33;34;33;30;0;0;0;0;0;0;0;0;0;0;59;24;40;7;71;48;49;20;13;33;78;2,5;3,5;5,5;0,5;1;2,5;3;2,5;3;11,5;4;8,5;6;7;11;7;8;14;22;43;12
2;22;15;11;62;42;29;28,57;27,5;35;17,14;22,86;26,25;13;21,25;18,33;142;124;30;54;21;38;4;31;36;24;32;22;39;32;7;10;3;4;2;5;4;12;3;2;84;17;30;14;61;24;33;9;5;31;49;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;11;28;11;9
2;27;26;28;54;31;56;47,14;43,75;40;42,86;45,71;45;34;40;35;81;76;45;49;54;51;15;34;17;23;31;37;41;35;4;12;8;6;3;3;3;6;4;5;40;17;27;14;58;62;33;24;17;26;92;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;8;21;37;14
2;14;14;14;62;39;39;35,71;18,75;33,33;25,71;27,14;27,5;19;25;13,33;112;101;29;36;32;36;6;28;28;21;49;47;48;40;4;6;6;6;8;4;6;9;6;5;62;17;21;13;51;32;17;10;7;29;41;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;14;24;26;11
2;25;23;19;52;40;36;28,57;27,5;31,67;37,14;35,71;32,5;31;35;30;93;83;37;34;41;29;11;31;27;21;38;43;35;36;5;7;5;5;4;4;4;4;9;4;52;22;28;9;59;42;38;22;13;37;74;0;4;1;2;3;2,5;7,5;2;2;5;7,5;11,5;9,5;9;5,5;0;5;16;20;29;17
2;14;15;20;18;30;36;40;38,75;43,33;47,14;44,29;33,75;33;28,75;13,33;93;86;55;51;42;48;11;32;28;25;35;37;44;36;3;3;7;7;6;3;2;7;7;5;72;19;27;11;57;50;26;17;5;13;53;1,5;3;4,5;2;2,5;7,5;2;0;0;9;2;12;5,5;5,5;12;2;6;25;25;20;14
