Пол;Physical Aggression;Anger;Hostility;Всесилие;Неуязвимость;Уникальность;ГЧС;ПФ;ВСУ;ППВВ;ООО;ММО;ОЭ;СЧЗ;ДЗП;ОШКМ;ШЭС;ШЭМ;ШПС;ШКМ;ШНО;ШЛСМ;ШВ;ШСЖ;ШЛ;1Директивный стиль;2Аналитический стиль;3Концептуальный стиль;4Поведенческий стиль;Безопасность;Конформизм;Традиция;Самостьятельность;Риск-новизна;Гедонизм;Достижение;Власть-Богатство;Благожелательность;Универсализм;Неув.в прич.;Новизна;Сложность;Нерешенность;Общий ;Политика;Личный опыт;Воспитание;Спорт;СМИ;Общий;E';E;e;I';I;i;M';M;m;E||;I||;i||;OD;ED;NP;сложные;GCR;F1 (ОПС);F2 (ОПС);F1 (ША);F2 (ША)
2;13;20;9;68;43;44;47,14;28,75;40;37,14;31,43;20;20;20;23,33;114;106;42;47;27;37;11;30;31;19;34;31;29;29;2;6;8;3;3;4;2;6;5;5;63;8;48;8;64;39;30;18;14;28;65;2,5;5;0,5;0;1,5;4,5;6;0,5;3,5;8;6;10;8,5;7;8,5;4;9;10;11;22;7
2;24;15;20;68;38;45;37,14;25;33,33;32,86;42,86;32,5;25;26,25;30;100;97;42;44;31;38;9;30;32;21;37;37;35;32;5;8;6;6;5;6;6;7;8;3;51;8;48;8;64;41;32;9;7;23;52;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;13;19;25;13
2;22;10;16;65;41;48;40;30;38,33;35,71;34,29;28,75;27;35;21,67;104;89;24;45;40;41;11;28;23;25;39;36;41;42;2;6;6;2;7;5;4;5;6;4;65;8;48;8;64;49;33;19;11;32;71;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;19;25;25;16
2;24;15;25;58;49;48;42,86;46,25;41,67;38,57;31,43;40;32;38,75;28,33;97;95;41;36;38;42;10;29;30;23;42;44;35;41;8;7;4;4;3;3;3;8;9;4;48;8;48;8;64;38;36;19;19;46;80;5;10,5;0,5;0;0;0;5;1,5;0,5;16;1;7;10;12;2;5,5;7;10;20;27;10
2;20;20;20;74;43;47;42,86;31,25;40;50;38,57;40;29;35;33,33;101;88;26;39;36;31;7;27;35;22;34;35;42;46;12;5;8;8;6;10;11;10;15;7;77;8;48;8;64;60;46;24;13;36;98;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;24;28;29;17
2;18;21;20;58;34;42;28,57;26,25;35;35,71;35,71;25;24;27,5;13,33;100;80;22;38;39;45;9;31;22;22;44;59;53;44;2;7;6;9;5;6;5;7;7;5;50;8;48;8;64;57;33;14;16;20;75;3,5;3;3;0;3;5;5,5;1;0;9,5;8;6,5;9;7;8;3;6,5;18;19;28;16
2;21;24;24;51;29;45;30;31,25;33,33;37,14;35,71;28,75;23;35;25;82;56;24;41;35;39;14;29;25;19;33;34;39;28;3;6;5;4;4;5;4;8;3;3;37;8;48;8;64;37;27;12;15;34;58;2;2;1;?;4,5;5,5;6;2;1;5;9;10;8;8,5;7,5;4;7,5;14;15;36;9
2;27;31;13;60;36;54;34,29;28,75;28,33;42,86;41,43;31,25;25;30;20;70;52;27;27;45;33;9;31;22;19;38;46;40;42;0;0;0;0;0;0;0;0;0;0;42;8;48;8;64;23;39;16;14;42;59;0,5;4;4;1;1,5;5;6;1;1;8,5;7,5;8;7,5;6,5;10;2;7,5;6;9;20;11
2;18;23;21;46;29;39;35,71;33,75;36,67;41,43;31,43;35;28;38,75;11,67;68;51;42;46;37;44;16;34;27;20;42;44;41;34;4;4;8;7;7;5;6;8;9;5;37;8;48;8;64;33;22;16;13;17;50;7;6;2,5;0;2;2,5;2;2;0;15,5;4,5;4;9;10;5;5;7;16;18;38;12
2;27;26;19;53;37;46;40;25;33,33;34,29;38,57;36,25;24;35;31,67;110;94;32;42;31;38;8;28;31;28;48;50;44;45;4;8;5;9;3;6;8;5;11;6;61;8;48;8;64;29;33;12;17;33;66;1;4,5;4,5;0;0;8,5;2,5;2,5;0,5;10;8,5;5,5;3,5;7;13,5;7;3;16;19;24;14
2;10;17;22;53;45;36;30;26,25;31,67;32,86;30;31,25;34;37,5;18,33;97;80;33;50;41;44;13;32;25;24;49;44;52;44;6;7;8;7;8;7;10;7;9;8;46;8;48;8;64;46;18;12;13;18;57;1;5;5,5;1;1,5;6,5;2,5;1;0;11,5;9;3,5;4,5;7,5;12;3;4;13;26;36;28
2;14;19;12;63;34;33;30;31,25;35;40;30;30;17;27,5;20;125;105;27;52;36;43;13;35;27;17;35;28;42;35;3;7;8;9;9;9;2;6;9;4;69;8;48;8;64;30;34;10;8;26;58;2;2,5;3;1;3;6;4,5;1;1;7,5;10;6,5;7,5;6,5;10;8;7,5;22;26;29;14
2;13;10;15;47;38;48;25,71;27,5;23,33;20;24,29;25;26;28,75;20;101;83;24;30;32;33;14;34;32;23;46;45;43;38;6;7;7;8;6;5;7;9;9;5;47;8;48;8;64;23;27;13;7;34;43;3,5;4,5;2;3;2;5;1,5;?;2,5;10;10;4;8;6,5;9,5;5;6;17;19;24;10
1;16;17;11;64;46;43;45,71;32,5;30;27,14;40;36,25;31;28,75;30;109;101;41;39;35;41;10;31;27;25;49;48;43;39;8;10;4;3;2;3;5;5;4;4;44;8;48;8;64;44;34;23;18;36;80;0;14;1;1;0;3,5;4;0,5;0;15;4,5;4,5;5;14,5;4,5;3;4;5;13;28;13
2;25;28;23;65;29;45;37,14;31,25;35;44,29;38,57;33,75;36;30;20;90;74;38;45;45;43;9;33;24;19;31;34;41;32;3;11;8;9;3;4;6;10;10;7;53;8;48;8;64;59;39;17;10;13;80;5,5;4;0,5;0,5;2;6;2;2;1,5;10;8,5;5,5;8;8;8;16;3;17;22;36;14
2;24;23;25;65;34;37;31,43;35;33,33;34,29;35,71;28,75;24;35;23,33;104;85;23;42;31;38;13;31;26;23;0;0;0;0;5;6;7;4;7;4;4;5;9;6;56;8;48;8;64;28;30;13;14;35;53;5;5;2;1;0,5;5;5,5;1;1;10;6,5;7,5;9,5;6,5;8;2;8;16;21;?;?
2;14;18;11;38;30;42;25,71;15;23,33;40;38,57;32,5;28;36,25;23,33;107;88;23;37;33;26;9;32;31;21;43;39;45;35;4;6;5;5;5;6;7;7;7;6;61;8;48;8;64;47;34;20;5;31;71;4,5;3;2,5;2;2,5;5;1;2;1,5;10;9,5;4,5;7,5;7,5;9;5;2;14;17;41;11
2;18;14;18;54;31;40;37,14;42,5;28,33;40;37,14;41,25;34;28,75;21,67;89;81;41;45;35;30;12;35;32;21;45;37;40;34;5;9;6;5;2;5;2;5;7;2;53;8;48;8;64;34;25;10;7;27;50;6;3,5;2,5;0;2;6;2,5;0,5;1;12;8;4;8,5;6;9,5;6;4,5;16;22;27;13
2;22;17;17;44;30;34;20;20;28,33;30;40;31,25;25;38,75;30;73;72;42;32;38;35;19;35;28;22;41;42;40;34;6;8;5;6;6;3;9;10;7;3;44;8;48;8;64;51;28;17;19;25;72;2,5;2;3;1;3;5,5;4;2;1;7,5;9,5;7;7,5;7;9,5;11;7,5;13;21;28;14
2;22;26;24;46;33;40;35,71;32,5;36,67;40;41,43;33,75;21;40;18,33;93;86;39;42;36;32;11;35;31;14;33;36;41;32;3;5;8;6;8;6;5;7;7;4;61;8;48;8;64;49;30;17;12;39;78;3,5;6;2;1;2;5,5;3;1;0;11,5;8,5;4;7,5;9;7,5;1;7;12;23;28;16
2;21;21;19;57;39;38;22,86;12,5;35;18,57;37,14;26,25;34;33,75;13,33;118;95;20;47;37;41;15;34;27;22;34;29;37;34;5;8;9;5;4;6;6;8;6;4;50;8;48;8;64;51;37;15;17;26;90;1,5;2;5,5;0,5;1,5;7;2,5;1,5;2;9;9;7;4,5;5;14,5;8;9;14;17;36;16
2;29;28;27;49;24;55;30;36,25;35;48,57;44,29;35;31;43,75;28,33;73;53;29;30;47;33;18;31;21;18;44;46;37;32;2;7;10;3;8;3;4;5;8;4;36;8;48;8;64;45;30;16;13;50;72;4,5;12;1,5;1,5;0,5;1,5;2;0;0,5;18;3,5;2,5;8;12,5;3,5;8;5;21;24;39;16
2;32;24;22;56;39;54;35,71;31,25;33,33;35,71;40;32,5;24;35;26,67;107;99;35;43;39;36;17;34;23;22;34;29;40;36;5;9;7;3;3;3;4;6;10;7;56;8;48;8;64;40;52;9;13;38;69;0,5;8,5;2,5;0;1,5;4,5;5,5;1;0;11,5;6;6,5;6;11;7;7;5;12;18;26;13
